file,virus_id,step,waymo_x,waymo_y,hybrid_x,hybrid_y,label
validation_tfexample.tfrecord-00058-of-00150,557,0,338.56658935546875,1744.8358154296875,338.56658935546875,1744.8358154296875,0
validation_tfexample.tfrecord-00058-of-00150,557,1,338.371826171875,1745.0218505859375,338.371826171875,1745.0218505859375,0
validation_tfexample.tfrecord-00058-of-00150,557,2,338.1491394042969,1745.2393798828125,338.1491394042969,1745.2393798828125,0
validation_tfexample.tfrecord-00058-of-00150,557,3,337.919677734375,1745.46435546875,337.919677734375,1745.46435546875,0
validation_tfexample.tfrecord-00058-of-00150,557,4,337.6648864746094,1745.72509765625,337.6648864746094,1745.72509765625,0
validation_tfexample.tfrecord-00058-of-00150,557,5,337.4208984375,1745.984375,337.4208984375,1745.984375,0
validation_tfexample.tfrecord-00058-of-00150,557,6,337.1585693359375,1746.2470703125,337.1585693359375,1746.2470703125,0
validation_tfexample.tfrecord-00058-of-00150,557,7,336.8973083496094,1746.5126953125,336.8973083496094,1746.5126953125,0
validation_tfexample.tfrecord-00058-of-00150,557,8,336.6142272949219,1746.806640625,336.6142272949219,1746.806640625,0
validation_tfexample.tfrecord-00058-of-00150,557,9,336.3237609863281,1747.116455078125,336.3237609863281,1747.116455078125,0
validation_tfexample.tfrecord-00058-of-00150,557,10,336.0144958496094,1747.437744140625,336.99522572755814,1746.4960812926292,1
validation_tfexample.tfrecord-00058-of-00150,557,11,335.6882019042969,1747.7794189453125,336.6869250535965,1746.7829957008362,1
validation_tfexample.tfrecord-00058-of-00150,557,12,335.3452453613281,1748.1431884765625,336.3447099328041,1747.143661558628,1
validation_tfexample.tfrecord-00058-of-00150,557,13,334.9875793457031,1748.511474609375,335.98678785562515,1747.511579990387,1
validation_tfexample.tfrecord-00058-of-00150,557,14,334.5552673339844,1748.9761962890625,335.5518328547478,1747.976230323315,1
validation_tfexample.tfrecord-00058-of-00150,557,15,-1.0,-1.0,-0.0568073987960815,-1.9999828934669497,1
validation_tfexample.tfrecord-00058-of-00150,557,16,-1.0,-1.0,-1.475043684244156,-1.9999845623970032,1
validation_tfexample.tfrecord-00058-of-00150,557,17,333.589599609375,1750.0391845703125,332.5937250852585,1749.0392050147057,1
validation_tfexample.tfrecord-00058-of-00150,557,18,333.2020568847656,1750.44091796875,332.20229482650757,1749.440937757492,1
validation_tfexample.tfrecord-00058-of-00150,557,19,332.79107666015625,1750.8780517578125,331.79115998744965,1749.8780683875084,1
validation_tfexample.tfrecord-00058-of-00150,557,20,332.37030029296875,1751.32421875,331.3703577518463,1750.3242336511612,1
validation_tfexample.tfrecord-00058-of-00150,557,21,331.93780517578125,1751.7825927734375,331.93780517578125,1751.7825927734375,0
validation_tfexample.tfrecord-00058-of-00150,557,22,331.4914855957031,1752.265869140625,331.4914855957031,1752.265869140625,0
validation_tfexample.tfrecord-00058-of-00150,557,23,331.02166748046875,1752.7784423828125,331.02166748046875,1752.7784423828125,0
validation_tfexample.tfrecord-00058-of-00150,557,24,330.5555725097656,1753.280029296875,330.5555725097656,1753.280029296875,0
validation_tfexample.tfrecord-00058-of-00150,557,25,330.0878601074219,1753.76318359375,330.0878601074219,1753.76318359375,0
validation_tfexample.tfrecord-00058-of-00150,557,26,329.6165466308594,1754.275634765625,329.6165466308594,1754.275634765625,0
validation_tfexample.tfrecord-00058-of-00150,557,27,329.14068603515625,1754.7939453125,329.14068603515625,1754.7939453125,0
validation_tfexample.tfrecord-00058-of-00150,557,28,328.6609191894531,1755.323486328125,328.6609191894531,1755.323486328125,0
validation_tfexample.tfrecord-00058-of-00150,557,29,328.1717224121094,1755.8543701171875,328.1717224121094,1755.8543701171875,0
validation_tfexample.tfrecord-00058-of-00150,557,30,327.6809387207031,1756.396240234375,327.6809387207031,1756.396240234375,0
validation_tfexample.tfrecord-00058-of-00150,557,31,327.1801452636719,1756.9556884765625,327.1801452636719,1756.9556884765625,0
validation_tfexample.tfrecord-00058-of-00150,557,32,326.6921081542969,1757.4859619140625,326.6921081542969,1757.4859619140625,0
validation_tfexample.tfrecord-00058-of-00150,557,33,326.1618347167969,1758.0723876953125,326.1618347167969,1758.0723876953125,0
validation_tfexample.tfrecord-00058-of-00150,557,34,325.64190673828125,1758.6341552734375,325.64190673828125,1758.6341552734375,0
validation_tfexample.tfrecord-00058-of-00150,557,35,325.1044006347656,1759.208251953125,325.1044006347656,1759.208251953125,0
validation_tfexample.tfrecord-00058-of-00150,557,36,324.5653991699219,1759.7877197265625,324.5653991699219,1759.7877197265625,0
validation_tfexample.tfrecord-00058-of-00150,557,37,324.02545166015625,1760.3582763671875,324.02545166015625,1760.3582763671875,0
validation_tfexample.tfrecord-00058-of-00150,557,38,323.4654235839844,1760.9544677734375,323.4654235839844,1760.9544677734375,0
validation_tfexample.tfrecord-00058-of-00150,557,39,322.8952331542969,1761.565185546875,322.8952331542969,1761.565185546875,0
validation_tfexample.tfrecord-00058-of-00150,557,40,322.3158264160156,1762.17578125,322.3158264160156,1762.17578125,0
validation_tfexample.tfrecord-00058-of-00150,557,41,321.7327575683594,1762.76708984375,321.7327575683594,1762.76708984375,0
validation_tfexample.tfrecord-00058-of-00150,557,42,321.11651611328125,1763.382080078125,321.11651611328125,1763.382080078125,0
validation_tfexample.tfrecord-00058-of-00150,557,43,320.49481201171875,1764.03125,320.49481201171875,1764.03125,0
validation_tfexample.tfrecord-00058-of-00150,557,44,319.8911437988281,1764.6644287109375,319.8911437988281,1764.6644287109375,0
validation_tfexample.tfrecord-00058-of-00150,557,45,319.26641845703125,1765.31201171875,319.26641845703125,1765.31201171875,0
validation_tfexample.tfrecord-00058-of-00150,557,46,318.6593933105469,1765.9349365234375,318.6593933105469,1765.9349365234375,0
validation_tfexample.tfrecord-00058-of-00150,557,47,318.01654052734375,1766.599365234375,318.01654052734375,1766.599365234375,0
validation_tfexample.tfrecord-00058-of-00150,557,48,317.38128662109375,1767.25341796875,317.38128662109375,1767.25341796875,0
validation_tfexample.tfrecord-00058-of-00150,557,49,316.7710266113281,1767.8668212890625,316.7710266113281,1767.8668212890625,0
validation_tfexample.tfrecord-00058-of-00150,557,50,316.157958984375,1768.4901123046875,316.157958984375,1768.4901123046875,0
validation_tfexample.tfrecord-00058-of-00150,557,51,315.54290771484375,1769.127685546875,315.54290771484375,1769.127685546875,0
validation_tfexample.tfrecord-00058-of-00150,557,52,314.8946533203125,1769.751953125,314.8946533203125,1769.751953125,0
validation_tfexample.tfrecord-00058-of-00150,557,53,314.2691955566406,1770.41748046875,314.2691955566406,1770.41748046875,0
validation_tfexample.tfrecord-00058-of-00150,557,54,313.666259765625,1770.9832763671875,313.666259765625,1770.9832763671875,0
validation_tfexample.tfrecord-00058-of-00150,557,55,313.06591796875,1771.623046875,313.06591796875,1771.623046875,0
validation_tfexample.tfrecord-00058-of-00150,557,56,312.4781188964844,1772.2061767578125,312.4781188964844,1772.2061767578125,0
validation_tfexample.tfrecord-00058-of-00150,557,57,311.90240478515625,1772.80078125,311.90240478515625,1772.80078125,0
validation_tfexample.tfrecord-00058-of-00150,557,58,311.2363586425781,1773.5045166015625,311.2363586425781,1773.5045166015625,0
